trial,maze,time_s,x,y,z,angle,event
1,Hard039,0.003,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.125,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.135,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.149,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.165,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.182,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.198,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.214,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.231,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.248,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.265,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.281,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.298,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.314,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.331,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.348,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.364,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.381,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.397,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.414,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.430,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.447,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.464,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.482,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.497,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.515,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.531,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.547,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.564,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.581,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.598,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.615,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.632,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.648,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.665,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.681,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.698,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.717,3.2500,0.0000,3.2500,45.00,
1,Hard039,0.734,3.2500,0.0000,3.2500,48.12,
1,Hard039,0.750,3.2500,0.0000,3.2500,49.32,
1,Hard039,0.767,3.2500,0.0000,3.2500,50.83,
1,Hard039,0.783,3.2500,0.0000,3.2500,52.86,
1,Hard039,0.801,3.2500,0.0000,3.2500,55.52,
1,Hard039,0.819,3.2500,0.0000,3.2500,58.59,
1,Hard039,0.834,3.2500,0.0000,3.2500,61.15,
1,Hard039,0.854,3.2500,0.0000,3.2500,61.35,
1,Hard039,0.869,3.2500,0.0000,3.2500,61.51,
1,Hard039,0.885,3.2500,0.0000,3.2500,61.67,
1,Hard039,0.902,3.2500,0.0000,3.2500,62.14,
1,Hard039,0.918,3.2500,0.0000,3.2500,62.92,
1,Hard039,0.934,3.2500,0.0000,3.2500,64.48,
1,Hard039,0.951,3.2500,0.0000,3.2500,65.94,
1,Hard039,0.967,3.2500,0.0000,3.2500,66.61,
1,Hard039,0.982,3.2500,0.0000,3.2500,66.72,
1,Hard039,0.998,3.2500,0.0000,3.2500,66.72,
1,Hard039,1.014,3.2500,0.0000,3.2500,66.72,
1,Hard039,1.031,3.2500,0.0000,3.2500,66.72,
