trial,maze,time_s,x,y,z,angle,event
1,Maze001,0.203,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.209,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.213,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.219,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.223,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.227,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.231,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.235,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.240,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.243,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.248,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.253,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.256,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.260,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.264,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.268,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.272,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.277,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.281,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.285,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.289,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.293,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.298,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.302,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.306,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.310,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.315,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.318,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.322,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.327,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.331,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.335,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.339,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.343,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.348,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.352,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.356,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.360,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.364,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.369,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.373,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.377,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.381,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.385,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.389,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.394,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.398,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.402,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.406,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.410,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.414,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.418,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.423,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.427,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.431,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.435,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.439,3.2500,-0.9990,3.2500,45.00,
