trial,maze,time_s,x,y,z,angle,event
1,Hard030,0.003,3.2500,1.0000,3.2500,45.00,
1,Hard030,0.071,3.2500,1.0000,3.2500,47.76,
1,Hard030,0.082,3.2500,1.0000,3.2500,47.76,
1,Hard030,0.104,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.120,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.136,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.153,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.170,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.187,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.203,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.220,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.237,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.253,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.270,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.287,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.303,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.319,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.336,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.353,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.369,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.386,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.402,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.419,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.437,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.457,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.477,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.494,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.506,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.520,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.536,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.554,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.570,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.586,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.607,3.2500,1.0000,3.2500,55.52,
1,Hard030,0.624,3.2500,1.0000,3.2500,55.47,
1,Hard030,0.639,3.2500,1.0000,3.2500,55.26,
1,Hard030,0.656,3.2500,1.0000,3.2500,55.16,
1,Hard030,0.672,3.2500,1.0000,3.2500,55.00,
1,Hard030,0.694,3.2500,1.0000,3.2500,54.84,
1,Hard030,0.707,3.2500,1.0000,3.2500,54.43,
1,Hard030,0.722,3.2500,1.0000,3.2500,54.17,
1,Hard030,0.738,3.2500,1.0000,3.2500,53.70,
1,Hard030,0.756,3.2500,1.0000,3.2500,53.54,
1,Hard030,0.774,3.2500,1.0000,3.2500,53.39,
1,Hard030,0.791,3.2500,1.0000,3.2500,53.12,
1,Hard030,0.806,3.2500,1.0000,3.2500,52.86,
1,Hard030,0.822,3.2500,1.0000,3.2500,52.55,
