trial,maze,time_s,x,y,z,angle,event
1,Maze001,0.204,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.208,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.223,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.231,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.235,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.240,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.248,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.252,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.256,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.260,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.265,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.268,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.272,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.276,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.280,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.284,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.289,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.293,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.297,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.301,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.305,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.309,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.313,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.318,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.322,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.326,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.330,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.335,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.339,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.343,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.347,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.351,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.363,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.368,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.373,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.376,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.381,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.384,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.389,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.393,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.397,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.401,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.405,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.410,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.414,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.418,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.422,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.426,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.430,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.434,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.438,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.443,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.447,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.451,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.455,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.459,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.464,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.468,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.472,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.476,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.480,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.492,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.495,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.501,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.505,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.509,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.513,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.518,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.522,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.526,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.531,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.534,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.539,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.542,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.546,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.551,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.555,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.559,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.563,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.567,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.572,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.576,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.580,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.584,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.588,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.592,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.596,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.601,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.605,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.609,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.613,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.617,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.622,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.626,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.630,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.634,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.638,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.642,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.647,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.651,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.655,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.660,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.664,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.668,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.672,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.676,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.680,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.684,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.689,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.693,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.697,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.701,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.705,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.709,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.713,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.717,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.722,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.726,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.730,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.734,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.738,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.742,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.747,3.2500,-0.9990,3.2500,18.33,
1,Maze001,0.751,3.2500,-0.9990,3.2500,18.33,
