trial,maze,time_s,x,y,z,angle,event
1,Easy036,0.003,3.2500,-0.9990,3.2500,45.00,
1,Easy036,0.029,3.2500,-0.9990,3.2500,45.00,
1,Easy036,0.037,3.2500,-0.9990,3.2500,45.00,
1,Easy036,0.061,3.2500,-0.9990,3.2500,48.27,
1,Easy036,0.077,3.2500,-0.9990,3.2500,49.29,
1,Easy036,0.093,3.2500,-0.9990,3.2500,49.35,
1,Easy036,0.109,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.125,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.142,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.159,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.176,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.193,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.209,3.2500,-0.9990,3.2500,49.41,
1,Easy036,0.229,3.2500,-0.9990,3.2500,49.11,
1,Easy036,0.243,3.2500,-0.9990,3.2500,47.40,
1,Easy036,0.263,3.2500,-0.9990,3.2500,46.83,
1,Easy036,0.277,3.2500,-0.9990,3.2500,45.39,
1,Easy036,0.294,3.2500,-0.9990,3.2500,39.15,
1,Easy036,0.311,3.2500,-0.9990,3.2500,35.37,
1,Easy036,0.327,3.2500,-0.9990,3.2500,32.05,
1,Easy036,0.345,3.2500,-0.9990,3.2500,28.72,
1,Easy036,0.360,3.2500,-0.9990,3.2500,26.17,
1,Easy036,0.377,3.2500,-0.9990,3.2500,24.67,
1,Easy036,0.395,3.2500,-0.9990,3.2500,23.83,
1,Easy036,0.409,3.2500,-0.9990,3.2500,23.59,
1,Easy036,0.426,3.2500,-0.9990,3.2500,23.38,
1,Easy036,0.443,3.2500,-0.9990,3.2500,22.75,
1,Easy036,0.460,3.2500,-0.9990,3.2500,21.88,
1,Easy036,0.478,3.2500,-0.9990,3.2500,20.89,
1,Easy036,0.493,3.2500,-0.9990,3.2500,18.52,
1,Easy036,0.509,3.2500,-0.9990,3.2500,16.72,
1,Easy036,0.526,3.2500,-0.9990,3.2500,14.42,
1,Easy036,0.543,3.2500,-0.9990,3.2500,12.02,
1,Easy036,0.560,3.2500,-0.9990,3.2500,9.83,
1,Easy036,0.577,3.2500,-0.9990,3.2500,7.91,
1,Easy036,0.593,3.2500,-0.9990,3.2500,7.73,
1,Easy036,0.609,3.2500,-0.9990,3.2500,7.73,
1,Easy036,0.626,3.2500,-0.9990,3.2500,7.73,
1,Easy036,0.643,3.2500,-0.9990,3.2500,7.76,
1,Easy036,0.660,3.2500,-0.9990,3.2500,8.36,
1,Easy036,0.676,3.2500,-0.9990,3.2500,9.38,
1,Easy036,0.693,3.2500,-0.9990,3.2500,11.09,
1,Easy036,0.709,3.2500,-0.9990,3.2500,11.12,
1,Easy036,0.726,3.2500,-0.9990,3.2500,11.15,
1,Easy036,0.743,3.2500,-0.9990,3.2500,11.18,
1,Easy036,0.760,3.2500,-0.9990,3.2500,11.15,
1,Easy036,0.777,3.2500,-0.9990,3.2500,11.12,
1,Easy036,0.794,3.2500,-0.9990,3.2500,11.12,
1,Easy036,0.808,3.2500,-0.9990,3.2500,11.27,
1,Easy036,0.826,3.2500,-0.9990,3.2500,11.45,
1,Easy036,0.843,3.2500,-0.9990,3.2500,11.78,
1,Easy036,0.859,3.2500,-0.9990,3.2500,12.50,
1,Easy036,0.877,3.2500,-0.9990,3.2500,14.18,
1,Easy036,0.893,3.2500,-0.9990,3.2500,17.41,
1,Easy036,0.912,3.2500,-0.9990,3.2500,18.67,
1,Easy036,0.926,3.2500,-0.9990,3.2500,20.65,
1,Easy036,0.943,3.2500,-0.9990,3.2500,23.44,
1,Easy036,0.959,3.2500,-0.9990,3.2500,25.51,
1,Easy036,0.976,3.2500,-0.9990,3.2500,29.41,
1,Easy036,0.995,3.2500,-0.9990,3.2500,30.73,
1,Easy036,1.010,3.2500,-0.9990,3.2500,32.29,
1,Easy036,1.027,3.2500,-0.9990,3.2500,33.19,
1,Easy036,1.042,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.059,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.077,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.092,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.108,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.125,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.142,3.2500,-0.9990,3.2500,33.31,
1,Easy036,1.159,3.2500,-0.9990,3.2500,33.31,
