trial,maze,time_s,x,y,z,angle,event
1,Maze001,0.005,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.012,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.016,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.025,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.029,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.032,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.036,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.039,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.046,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.052,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.058,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.065,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.070,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.074,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.082,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.091,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.095,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.098,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.104,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.112,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.120,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.128,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.132,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.141,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.149,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.157,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.162,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.171,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.179,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.187,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.190,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.194,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.200,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.207,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.212,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.216,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.220,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.229,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.232,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.241,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.244,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.248,3.2500,-0.9990,3.2500,22.48,
1,Maze001,0.253,3.2500,-0.9990,3.2500,22.48,
