trial,maze,time_s,x,y,z,angle,event
1,Maze001,0.203,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.208,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.212,3.2500,-0.9990,3.2500,45.00,
1,Maze001,0.216,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.220,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.224,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.229,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.233,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.237,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.241,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.245,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.249,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.253,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.258,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.262,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.266,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.270,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.274,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.279,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.282,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.287,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.291,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.295,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.299,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.303,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.308,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.312,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.316,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.320,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.324,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.328,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.332,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.337,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.341,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.345,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.349,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.354,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.357,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.362,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.366,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.370,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.374,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.378,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.382,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.387,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.391,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.395,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.399,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.404,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.408,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.412,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.416,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.420,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.424,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.428,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.433,3.2500,-0.9990,3.2500,52.19,
1,Maze001,0.437,3.2500,-0.9990,3.2500,52.19,
