trial,maze,time_s,x,y,z,angle,event
1,Hard020,0.003,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.093,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.102,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.120,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.137,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.155,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.170,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.187,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.204,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.221,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.237,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.254,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.270,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.287,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.304,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.320,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.337,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.353,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.370,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.387,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.404,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.420,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.437,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.454,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.471,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.487,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.504,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.520,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.537,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.554,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.570,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.587,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.603,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.620,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.637,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.654,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.670,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.687,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.703,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.720,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.737,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.757,3.2500,-0.9990,3.2500,45.00,
1,Hard020,0.774,3.2500,-0.9990,3.2500,40.31,
1,Hard020,0.792,3.2500,-0.9990,3.2500,35.99,
1,Hard020,0.807,3.2500,-0.9990,3.2500,36.09,
