trial,maze,time_s,x,y,z,angle,event
1,Maze260925,0.001,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.029,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.035,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.049,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.051,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.059,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.068,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.076,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.084,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.093,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.101,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.109,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.118,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.126,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.135,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.143,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.151,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.160,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.168,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.176,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.185,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.193,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.201,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.210,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.218,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.227,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.235,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.243,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.251,8.2000,-0.9990,23.3176,146.65,
1,Maze260925,0.260,8.2000,-0.9990,23.3176,146.65,
