trial,maze,time_s,x,y,z,angle,event
1,Hard011,0.003,3.2500,0.0000,3.2500,45.00,
1,Hard011,0.117,3.2500,0.0000,3.2500,45.00,
1,Hard011,0.126,3.2500,0.0000,3.2500,45.00,
1,Hard011,0.141,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.159,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.173,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.191,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.208,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.226,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.243,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.266,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.288,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.305,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.330,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.340,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.361,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.375,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.392,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.410,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.424,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.442,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.457,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.475,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.491,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.508,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.524,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.541,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.558,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.575,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.590,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.609,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.624,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.641,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.657,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.674,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.690,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.707,3.2500,0.0000,3.2500,22.63,
1,Hard011,0.724,3.2500,0.0000,3.2500,22.63,
