trial,maze,time_s,x,y,z,angle,event
1,Easy026,0.003,3.2500,1.0000,3.2500,45.00,
1,Easy026,0.023,3.2500,1.0000,3.2500,45.00,
1,Easy026,0.046,3.2500,1.0000,3.2500,45.00,
1,Easy026,0.064,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.079,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.096,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.112,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.129,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.146,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.164,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.179,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.196,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.212,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.230,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.246,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.263,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.279,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.296,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.312,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.329,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.346,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.363,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.379,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.396,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.413,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.431,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.446,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.464,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.480,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.497,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.513,3.2500,1.0000,3.2500,20.83,
1,Easy026,0.530,3.2500,1.0000,3.2500,21.10,
1,Easy026,0.548,3.2500,1.0000,3.2500,21.52,
1,Easy026,0.564,3.2500,1.0000,3.2500,21.94,
1,Easy026,0.581,3.2500,1.0000,3.2500,22.57,
1,Easy026,0.598,3.2500,1.0000,3.2500,23.14,
1,Easy026,0.632,3.2500,1.0000,3.2500,23.74,
1,Easy026,0.640,3.2500,1.0000,3.2500,24.64,
1,Easy026,0.668,3.2500,1.0000,3.2500,27.01,
1,Easy026,0.681,3.2500,1.0000,3.2500,35.40,
1,Easy026,0.698,3.2500,1.0000,3.2500,36.21,
1,Easy026,0.714,3.2500,1.0000,3.2500,36.99,
1,Easy026,0.731,3.2500,1.0000,3.2500,37.29,
1,Easy026,0.748,3.2500,1.0000,3.2500,37.41,
1,Easy026,0.781,3.2500,1.0000,3.2500,37.59,
1,Easy026,0.790,3.2500,1.0000,3.2500,37.26,
1,Easy026,0.811,3.2500,1.0000,3.2500,37.11,
1,Easy026,0.830,3.2500,1.0000,3.2500,36.54,
1,Easy026,0.847,3.2500,1.0000,3.2500,36.12,
1,Easy026,0.865,3.2500,1.0000,3.2500,36.00,
1,Easy026,0.882,3.2500,1.0000,3.2500,35.88,
1,Easy026,0.897,3.2500,1.0000,3.2500,35.88,
1,Easy026,0.916,3.2500,1.0000,3.2500,35.76,
1,Easy026,0.931,3.2500,1.0000,3.2500,34.84,
1,Easy026,0.949,3.2500,1.0000,3.2500,34.12,
1,Easy026,0.964,3.2500,1.0000,3.2500,32.80,
1,Easy026,0.981,3.2500,1.0000,3.2500,31.84,
1,Easy026,0.997,3.2500,1.0000,3.2500,30.97,
1,Easy026,1.013,3.2500,1.0000,3.2500,30.28,
1,Easy026,1.031,3.2500,1.0000,3.2500,30.22,
1,Easy026,1.048,3.2500,1.0000,3.2500,30.46,
1,Easy026,1.065,3.2500,1.0000,3.2500,31.36,
1,Easy026,1.080,3.2500,1.0000,3.2500,31.72,
1,Easy026,1.096,3.2500,1.0000,3.2500,31.72,
1,Easy026,1.114,3.2500,1.0000,3.2500,31.72,
1,Easy026,1.134,3.2500,1.0000,3.2500,32.74,
1,Easy026,1.148,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.164,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.179,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.196,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.213,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.230,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.246,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.263,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.279,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.297,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.313,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.330,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.346,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.366,3.2500,1.0000,3.2500,33.70,
1,Easy026,1.383,3.2500,1.0000,3.2500,34.03,
1,Easy026,1.396,3.2500,1.0000,3.2500,34.69,
1,Easy026,1.417,3.2500,1.0000,3.2500,34.69,
1,Easy026,1.432,3.2500,1.0000,3.2500,36.54,
1,Easy026,1.447,3.2500,1.0000,3.2500,39.03,
1,Easy026,1.465,3.2500,1.0000,3.2500,42.99,
1,Easy026,1.483,3.2500,1.0000,3.2500,44.64,
1,Easy026,1.498,3.2500,1.0000,3.2500,45.90,
1,Easy026,1.514,3.2500,1.0000,3.2500,46.65,
1,Easy026,1.532,3.2500,1.0000,3.2500,47.01,
1,Easy026,1.547,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.563,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.580,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.596,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.613,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.630,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.646,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.664,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.679,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.697,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.713,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.730,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.749,3.2500,1.0000,3.2500,47.67,
1,Easy026,1.764,3.2500,1.0000,3.2500,51.21,
1,Easy026,1.780,3.2500,1.0000,3.2500,53.61,
1,Easy026,1.797,3.2500,1.0000,3.2500,55.55,
1,Easy026,1.814,3.2500,1.0000,3.2500,56.81,
1,Easy026,1.831,3.2500,1.0000,3.2500,58.46,
1,Easy026,1.849,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.863,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.880,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.896,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.913,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.930,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.946,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.963,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.980,3.2500,1.0000,3.2500,59.84,
1,Easy026,1.997,3.2500,1.0000,3.2500,59.84,
1,Easy026,2.013,3.2500,1.0000,3.2500,59.84,
1,Easy026,2.031,3.2500,1.0000,3.2500,59.84,
1,Easy026,2.049,3.2500,1.0000,3.2500,59.84,
1,Easy026,2.064,3.2500,1.0000,3.2500,63.68,
1,Easy026,2.081,3.2500,1.0000,3.2500,66.53,
1,Easy026,2.100,3.2500,1.0000,3.2500,69.08,
1,Easy026,2.114,3.2500,1.0000,3.2500,71.72,
1,Easy026,2.130,3.2500,1.0000,3.2500,72.53,
1,Easy026,2.148,3.2500,1.0000,3.2500,74.54,
1,Easy026,2.165,3.2500,1.0000,3.2500,77.74,
1,Easy026,2.180,3.2500,1.0000,3.2500,77.74,
1,Easy026,2.196,3.2500,1.0000,3.2500,78.49,
1,Easy026,2.213,3.2500,1.0000,3.2500,78.49,
1,Easy026,2.229,3.2500,1.0000,3.2500,78.49,
1,Easy026,2.245,3.2500,1.0000,3.2500,78.49,
